markerid	chr	pos	lod
chr1_227743	1	0	0.922476183
chr1_166361	1	1.00E-06	0.922428605
chr1_161541	1	2.00E-06	0.922428602
chr1_45946	1	3.00E-06	0.922428598
chr1_104719	1	4.00E-06	0.922425169
chr1_166900	1	5.00E-06	0.868932171
chr1_207773	1	6.00E-06	0.811854693
chr1_392187	1	0.004830819	1.034227464
chr1_280735	1	0.004831819	1.034232011
chr1_91752	1	0.034384458	1.082880701
chr1_175403	1	0.034385458	1.082882388
chr1_179033	1	0.034386458	1.082884075
chr1_175146	1	0.034387458	1.082885762
chr1_213996	1	0.034388458	1.082887449
chr1_241867	1	0.034389458	1.082889135
chr1_174122	1	0.034390458	1.082890822
chr1_392503	1	0.278709399	1.361634823
chr1_394291	1	0.522459141	1.457073353
chr1_399724	1	0.522460141	1.45707362
chr1_400551	1	0.523601695	1.457378514
chr1_419010	1	0.763906776	1.233990184
chr1_418821	1	0.763907776	1.233990182
chr1_417432	1	0.763908776	1.233989733
chr1_424836	1	0.766305155	1.244139118
chr1_444190	1	0.987987651	2.16872787
chr1_444191	1	0.987988651	2.16872787
chr1_428170	1	0.987989651	2.16872787
chr1_444183	1	0.987990651	2.16872787
chr1_444192	1	0.987991651	2.16872787
chr1_444173	1	0.987992651	2.16872787
chr1_469670	1	0.988176197	2.168727872
chr1_470767	1	1.017945161	2.168727842
chr1_473911	1	1.017946161	2.168727842
chr1_470752	1	1.017947161	2.168727841
chr1_474051	1	1.030175162	2.023208718
chr1_490159	1	1.042487249	1.83325635
chr1_518947	1	1.079149128	1.395296875
chr1_513019	1	1.079150128	1.395283713
chr1_518873	1	1.079151128	1.395270551
chr1_518877	1	1.079152128	1.395257388
chr1_523300	1	1.079153128	1.395244226
chr1_523918	1	1.079154128	1.395231063
chr1_520865	1	1.079155128	1.395217901
chr1_520847	1	1.079156128	1.395204738
chr1_523928	1	1.079157128	1.395191575
chr1_634588	1	1.079158128	1.395178412
chr1_541581	1	1.13207021	0.753777656
chr1_583402	1	1.13207121	0.753781257
chr1_585599	1	1.13207221	0.753784856
chr1_585635	1	1.13207321	0.753788455
chr1_541328	1	1.13207421	0.753792053
chr1_551202	1	1.13207521	0.753795652
chr1_586862	1	1.13207621	0.753799251
chr1_576613	1	1.13207721	0.75380285
chr1_541356	1	1.13207821	0.753806448
chr1_585633	1	1.13207921	0.753810047
chr1_639785	1	1.13208021	0.753813646
chr1_574372	1	1.13208121	0.753817244
chr1_540705	1	1.13208221	0.753820843
chr1_532694	1	1.13208321	0.753824441
chr1_540709	1	1.13208421	0.753827184
chr1_570524	1	1.13208521	0.74118641
chr1_760916	1	1.226007658	0.936371834
chr1_802319	1	1.511166635	0.965828754
chr1_802341	1	1.53235521	0.967670621
chr1_814801	1	2.677561117	0.931916381
chr1_816810	1	3.829088584	0.939887354
chr1_817114	1	4.120226308	0.932302774
chr1_856974	1	4.298102751	0.29776617
chr1_856675	1	4.298103751	0.297767357
chr1_937387	1	4.298104751	0.297768545
chr1_930415	1	4.298105751	0.297769733
chr1_912007	1	4.350166909	0.361466962
chr1_912072	1	4.354347786	0.643717219
chr1_930667	1	4.366633281	0.53999335
chr1_913115	1	4.366634281	0.539993349
chr1_948496	1	4.642369132	0.427978383
chr1_955056	1	5.658094458	0.398886169
chr1_955060	1	5.658095458	0.398885946
chr1_957460	1	5.658096458	0.398885723
chr1_957483	1	5.688899611	0.470096698
chr1_957560	1	5.688900611	0.470096508
chr1_957628	1	5.688901611	0.470096317
chr1_957549	1	5.688902611	0.470096312
chr1_958155	1	5.966292595	0.414435055
